,Number of trades,Close,Volume,0,1,2,3
0,773.0,30684.57,32.17433,,,,
1,1216.0,30711.24,87.27645,,,,
2,1312.0,30757.79,98.72511,,,,
3,1081.0,30726.51,94.28586,,,,
4,1427.0,30744.19,110.13828,,,,
5,1094.0,30691.89,95.30408,,,,
6,1556.0,30642.55,60.54185,,,,
7,2058.0,30626.28,126.88884,,,,
8,2143.0,30711.98,157.86385,,,,
9,1476.0,30748.22,99.522,,,,
10,897.0,30710.11,42.02931,,,,
11,1977.0,30732.02,156.2126,,,,
12,1964.0,30704.93,123.8169,,,,
13,1324.0,30742.63,85.13649,,,,
14,1499.0,30736.9,95.89372,,,,55.3119353594414
15,1296.0,30817.96,64.24717,,,,62.039465393161386
16,2308.0,30876.75,148.8593,,,,66.03337342034678
17,1750.0,30888.52,150.65833,,,,66.78678848003338
18,2050.0,30858.79,139.64581,,,,62.98636860810953
19,1498.0,30820.8,92.94703,,,30746.731500000005,58.41228319836848
20,1428.0,30773.68,83.21688,,,30749.29802380953,53.247223582161
21,1298.0,30789.89,62.68069,,,30753.16392630386,54.73022613295829
22,1672.0,30900.54,101.32451,,,30767.19974284635,63.29015457322852
23,1388.0,30942.28,87.31763,,,30783.87405305146,65.90887340990301
24,1859.0,30963.53,146.68816,,,30800.984143237034,67.19202200937808
25,1781.0,30926.53,124.62889,,,30812.940891500173,62.76243860389843
26,2183.0,30949.35,157.75424,,,30825.932235166823,64.3245542439476
27,1493.0,30990.12,87.06446,,,30841.569165150937,66.98896310347718
28,2444.0,30964.44,195.65722,,,30853.271149422275,63.758898152149726
29,1189.0,30954.27,68.22746,,,30862.890087572534,62.474147185481335
30,1649.0,30954.4,154.55688,,,30871.605317327532,62.484553461781914
31,855.0,30926.96,47.41312,,,30876.877191867767,58.77932641944563
32,1340.0,30947.06,89.91684,,,30883.561268832742,60.62136793422371
33,1381.0,31012.49,80.4477,,,30895.840195610577,65.95478936112985
34,1011.0,30973.08,46.66043,,,30903.19636745719,60.62836989130583
35,795.0,30985.66,36.21756,,,30911.05004674698,61.69187317170073
36,1358.0,30973.19,101.69819,,,30916.968137532982,59.96282141807784
